,latitude,longitude,distance_to_n,neighbour,borocode
10,40.7145,-73.9425,4.64006807686e-05,791533,3
10000,40.7947,-73.9667,0.000156542706008,8804,1
100004,40.7388,-74.0018,0.000131400655516,911931,1
100007,40.7539,-73.9677,4.70502450565e-05,60445,1
100013,40.8241,-73.9493,5.04341160204e-05,811025,j
100014,40.7429,-74.0028,0.000120133144554,649466,1
100016,40.8012,-73.966,0.00018423865321,438157,1
100020,40.7427,-73.9957,0.000188832289312,469092,1
100026,40.8234,-73.9457,0.000257575452058,297131,j
100027,40.7278,-73.9808,0.000124283624425,726527,1
100030,40.7769,-73.9467,6.57085090545e-05,211360,1
10004,40.8448,-73.9396,9.44778327223e-05,353342,1
100044,40.7488,-73.977,0.000141310973123,553351,1
100048,40.7707,-73.9817,0.000374764313687,176324,1
10005,40.7584,-73.9648,0.000102965153551,665010,1
100051,40.7439,-73.9743,4.6011952662e-05,196873,1
100052,40.7305,-73.983,3.27328742046e-05,81327,1
100053,40.8643,-73.928,0.000222758503637,519288,1
100055,40.7999,-73.9638,9.96150776612e-05,344080,1
100058,40.7328,-73.9799,0.000166554211735,692633,1
100062,40.7454,-73.9845,4.06202764832e-05,180753,1
100063,40.7427,-73.9794,0.000136555801811,401207,1
100065,40.7447,-73.9741,8.4938966572e-05,464855,1
100066,40.7074,-74.0081,5.14175947466e-05,92691,1
10007,40.7391,-73.9936,7.85076615209e-05,625918,1
100071,40.7584,-73.9653,0.000129719004187,24006,1
100075,40.7728,-73.9502,0.000115179047393,898773,1
100076,40.7709,-73.9917,0.000295000031953,365429,j
100079,40.8335,-73.9141,6.63431693747e-05,783675,2
100081,40.7716,-73.9506,0.000174320899091,208342,1
100083,40.7897,-73.976,4.28928295439e-05,722263,1
100084,40.7902,-73.9678,0.000330558265256,46742,1
100085,40.7179,-74.0148,4.9065849476e-05,197878,1
100087,40.7301,-73.9942,5.66219121224e-05,792949,1
10009,40.844,-73.9404,0.000199104917366,879238,1
100090,40.79,-73.9418,0.000189383067188,680275,1
100096,40.8184,-73.9389,0.000132976616951,896528,j
100098,40.7649,-73.9763,4.79219798041e-05,754236,1
100099,40.7471,-73.9867,9.21413137554e-05,319450,1
10010,40.753,-73.9959,7.62432788107e-05,424982,j
100100,40.7231,-74.0044,0.000114785127588,261801,1
100102,40.7723,-73.9533,0.000298532819872,418337,1
100107,40.7753,-73.954,4.13661416086e-05,342899,1
100112,40.7739,-73.9511,0.000193215229551,901333,1
100113,40.8031,-73.957,0.000182001855777,13157,1
100115,40.7975,-73.9626,4.18960147237e-05,198000,1
100117,40.7372,-73.9981,7.95089719309e-05,603475,1
100119,40.7479,-74.0005,0.000168820951854,548885,j
10012,40.7802,-73.9504,0.000107728057104,32192,1
100124,40.7377,-73.9831,0.000125224165224,335989,1
100127,40.7263,-73.8573,0.000121289703255,91964,4
100129,40.7267,-73.8569,6.83174986778e-05,810785,4
100131,40.7817,-73.9573,0.000133582437281,238829,1
100132,40.789,-73.9756,2.19476155763e-05,315614,1
100133,40.7522,-73.9702,2.45803523397e-05,758365,1
100136,40.7059,-73.8339,0.000338088843008,285895,4
100137,40.7943,-73.9675,0.00027833009108,100449,1
100138,40.7699,-73.9565,5.82992662806e-05,64586,1
100139,40.766,-73.9914,0.000147138509281,334322,j
10014,40.6888,-73.9522,0.000102374232975,251626,3
100140,40.7493,-73.7142,6.79829341552e-05,680974,4
100141,40.7892,-73.9705,4.17386227238e-05,735159,1
100144,40.7571,-73.9647,0.000142384652295,389983,1
100149,40.7299,-73.9819,0.000153454913026,690427,1
100151,40.7796,-73.9493,0.000123455763202,741212,1
100156,40.7459,-73.9564,0.000242209105824,5623,4
100160,40.7467,-73.9854,0.000167134987505,24894,1
100161,40.7619,-73.9854,1.98343764852e-05,26638,1
100166,40.7341,-73.9896,0.000114102593072,935909,1
100170,40.7413,-73.9779,0.000211417660146,94415,1
100172,40.7351,-73.9531,7.46034854145e-05,537343,3
100175,40.8028,-73.9648,0.000111527282558,632943,1
100177,40.7196,-74.0109,0.000372217360659,436091,1
100179,40.7777,-73.9532,5.86393166327e-05,565596,1
100181,40.7087,-74.0058,6.04255978562e-05,871750,1
100182,40.7924,-73.9741,0.000106513045027,613009,1
100184,40.7756,-73.9846,0.000193561024294,769013,1
100185,40.7054,-74.0095,7.57699528896e-05,936726,1
100188,40.7108,-73.8543,0.000102338958717,935807,4
100193,40.7802,-73.9444,4.8606977068e-05,263336,1
100196,40.664,-73.9342,1.36678494258e-05,471575,3
100198,40.7349,-73.9863,6.63370877414e-05,870468,1
1002,40.7617,-73.9626,7.10759859381e-05,447856,1
10020,40.8394,-73.9381,9.69218251632e-05,659047,1
100200,40.7931,-73.9715,0.00015366400125,595437,1
100203,40.7788,-73.9538,0.000123745682903,818317,1
100205,40.6578,-73.9259,4.56368363599e-05,35824,3
100206,40.769,-73.9541,0.000155278909042,641808,1
100209,40.6633,-73.9824,9.97694315455e-05,699976,3
10021,40.7762,-73.9592,0.000102230246451,199275,1
100213,40.7604,-73.9617,4.49053070833e-05,321299,1
100214,40.778,-73.9774,0.000143918253165,539845,1
100215,40.7801,-73.9803,2.49661617006e-05,539244,1
100216,40.7447,-74.0052,0.000101969906785,536544,j
100219,40.6896,-73.9982,7.26196712267e-05,77578,3
100221,40.7306,-73.8519,4.59632526763e-05,384846,4
100222,40.7318,-74.0016,0.000111422524378,671868,1
100224,40.7594,-73.9712,2.66427027042e-05,457477,1
100227,40.748,-73.9572,0.000240671372178,543375,4
100233,40.7681,-73.9858,3.27587776111e-05,138157,1
100234,40.624,-74.0312,0.000177193422052,203695,3
100235,40.7161,-73.9548,5.13571413452e-05,772120,3
100237,40.7676,-73.9577,0.000137402546848,191213,1
100240,40.7073,-74.0046,0.000240878600859,900884,1
100241,40.5946,-73.9617,0.000196015448653,14183,3
100243,40.7426,-73.979,7.61936478355e-05,229798,1
100245,40.7793,-73.9496,8.58968574407e-05,896236,1
100246,40.7216,-73.9423,3.06987817776e-05,186800,3
100247,40.7802,-73.9504,0.000107728057104,32192,1
100248,40.7128,-74.0059,0.000901401091202,697633,1
100250,40.7763,-73.9518,3.26488860395e-05,828939,1
100251,40.7676,-73.9813,5.53103292085e-05,639857,1
100253,40.5757,-73.9686,0.000429933694386,479402,3
100254,40.7777,-73.9883,0.000239365039817,903146,j
100256,40.8034,-73.9661,0.000146284199081,875837,1
100259,40.7133,-73.9395,0.00017954241437,333121,3
100260,40.8678,-73.9251,0.000148010449822,635598,1
100262,40.7592,-73.9903,0.000108916525749,903069,j
100263,40.7779,-73.9525,0.000160285074249,198922,1
100264,40.7064,-74.01,0.000175034555139,842268,1
100265,40.7108,-73.9878,0.000137243547034,897248,1
100270,40.7856,-73.9794,0.000166749027842,597907,1
100274,40.7281,-73.9812,2.76601602296e-05,657670,1
100276,40.7393,-73.9817,0.000296844197534,253144,1
100277,40.7736,-73.947,0.000152067764934,738501,1
100278,40.7633,-73.9628,4.01267353915e-05,235142,1
100279,40.7444,-73.9754,3.16809624041e-05,590785,1
100282,40.7796,-73.7804,5.42556961342e-05,927147,4
100283,40.7697,-73.9581,2.69778160204e-05,214364,1
100286,40.7075,-74.0113,0.000138306254259,100685,1
100287,40.7264,-73.9836,0.000111170739964,132764,1
10029,40.7947,-73.9667,0.000156542706008,8804,1
100296,40.7983,-73.9416,7.0347723478e-05,41957,1
100297,40.7481,-73.9748,0.000160521971327,27258,1
100299,40.7993,-73.9689,0.000141695239848,813110,1
10030,40.7694,-73.9603,7.54392038415e-05,710458,1
100300,40.7299,-73.9819,0.000153454913026,690427,1
100302,40.7751,-73.9481,0.000122937003136,611782,1
100305,40.7922,-73.9645,1.91947920125e-05,158417,1
100307,40.7366,-73.9934,3.07635010418e-05,71501,1
100308,40.6896,-73.9527,1.29166205124e-05,921346,3
100310,40.7324,-74.0081,0.000194948785785,784402,1
100311,40.7412,-73.9772,0.000295857778658,611579,1
100314,40.754,-73.9678,0.000167982312981,60445,1
100316,40.7382,-73.9965,2.27348086347e-05,840867,1
100317,40.764,-73.98,8.25449672577e-05,857974,1
100318,40.7401,-74.0039,7.2171803745e-05,311972,1
100319,40.7481,-73.9564,0.000170637836961,795157,4
100322,40.7723,-73.948,0.000130749753122,798787,1
100324,40.7681,-73.9527,9.94829817961e-05,227939,1
10033,40.7777,-73.9498,0.000125809323916,440272,1
100331,40.7951,-73.9676,0.000280411833918,174640,1
100332,40.6905,-73.9668,0.000250848883519,483815,3
100333,40.7612,-73.9978,3.42691705372e-05,751378,j
100335,40.7906,-73.9687,3.4509655999e-05,184429,1
100338,40.8666,-73.9217,0.000241518299366,704040,1
10034,40.7692,-73.9847,0.000303561006129,153424,1
100343,40.7075,-74.0059,0.000141837869982,38616,1
100345,40.6812,-73.9105,0.000102287059805,90885,3
100346,41.0412,-73.54,0.298688634878,27923,2
100348,40.7634,-73.9596,3.10563805375e-06,67581,1
100356,40.7307,-73.9837,0.000112399189903,379510,1
100358,40.7242,-73.9878,0.000168027132196,338612,1
100359,40.7298,-73.9868,0.000221389577671,150905,1
100360,40.7658,-73.9781,9.6145126711e-05,633489,1
10037,40.7548,-73.9944,0.000151597950878,137615,j
100371,40.7437,-73.9585,0.00037439197006,234199,4
100377,40.7177,-73.9984,5.89248085432e-05,913883,1
100380,40.763,-73.9579,9.41604915385e-05,44063,1
100382,40.6663,-73.9402,0.000185292714594,643913,3
100385,40.7406,-73.9822,9.22995841141e-05,330219,1
100386,40.755,-73.9663,0.000120541650539,637182,1
100387,40.7621,-73.9956,0.000143993361445,104960,j
100390,40.7469,-73.9803,0.00017655127986,484978,1
100391,40.7111,-73.8272,7.81819896097e-05,736306,4
100392,40.7182,-74.0148,1.5176200727e-05,9506,1
100395,40.8217,-73.9486,4.20942125936e-05,645068,j
100399,40.7265,-73.9835,8.8763605869e-05,636883,1
1004,40.7441,-73.8792,0.000172388343252,136037,4
10040,40.7689,-73.9681,5.03971853502e-05,865373,1
100400,40.7032,-73.9914,5.15231415565e-05,179161,3
100403,40.7787,-73.9751,0.000150394316637,661675,1
100406,40.7265,-73.9851,0.000104572445688,625868,1
100410,40.7491,-73.9789,0.000132677886124,751645,1
100411,40.7793,-73.9496,8.58968574407e-05,896236,1
100412,40.7726,-73.926,0.000111779013969,130205,4
100417,40.7462,-73.9757,0.000131019057572,258018,1
100419,40.7346,-74.0018,9.27804506075e-05,554274,1
100422,40.7062,-74.0099,0.000244677348688,710753,1
100423,40.7704,-73.9566,4.99301028557e-05,565992,1
100424,40.7616,-73.9643,6.1089199238e-05,464039,1
100427,40.755,-73.9636,0.000104789226372,129569,1
100429,40.7588,-73.9907,0.000118330770549,26710,j
100433,40.6911,-73.9822,0.000225984125429,453680,3
100437,40.7417,-73.9806,4.85030797989e-05,396588,1
100438,40.7603,-73.995,0.000198201327213,666358,j
100439,40.7658,-73.9781,9.6145126711e-05,633489,1
100440,40.8342,-73.9427,0.000120841959178,102442,j
100444,40.7604,-73.987,1.52844765646e-05,149976,1
100445,40.746,-73.9754,0.000137781912808,440727,1
100446,40.7771,-73.9496,4.67847971097e-05,599611,1
100449,40.7412,-73.9772,0.000295857778658,611579,1
10045,40.6577,-73.9055,7.67876691246e-05,122447,3
100451,40.7637,-73.9846,0.000201754876114,690536,1
100454,40.7095,-74.0094,8.55078381599e-05,202877,1
100457,40.7425,-73.9926,0.000271047030009,461996,1
100458,40.7088,-74.0143,7.55619648118e-05,578264,1
100463,40.7722,-73.9606,2.46283312358e-05,395799,1
100464,40.7489,-73.9765,9.6915851071e-05,881832,1
100465,40.7274,-73.9882,9.83805567764e-05,663824,1
100467,40.7512,-74.0026,0.000493438719051,712939,j
100468,40.7593,-73.9962,0.000213247932183,523094,j
100469,40.753,-73.9959,7.62432788107e-05,424982,j
100471,40.8008,-73.9611,0.000129657952148,447396,1
100472,40.7221,-73.9837,7.77455983338e-05,259912,1
100473,40.731,-73.9876,7.82616856066e-06,360862,1
100475,40.7928,-73.9758,9.72123945705e-05,694114,1
100477,40.753,-73.9695,4.74179512032e-05,879572,1
100479,40.7302,-73.9826,0.000155021771003,200441,1
10048,40.7663,-73.8288,5.38282614763e-05,939545,4
100482,40.7328,-74.0089,2.79606727506e-05,542652,1
100489,40.7992,-73.9674,0.000134310278749,450708,1
100490,40.7588,-73.9694,0.000277987092859,213678,1
100491,40.756,-73.9687,0.000109991086362,680809,1
100493,40.7612,-73.9978,3.42691705372e-05,751378,j
100497,40.7297,-73.986,0.000145888272328,445484,1
100498,40.7444,-74.0,4.33750586844e-05,136891,1
100502,40.742,-73.9826,1.88577877866e-05,805131,1
100504,40.7976,-73.968,1.33741724198e-05,67937,1
100509,40.7836,-73.9491,9.35992712005e-05,834150,1
100511,40.7868,-73.9504,7.10622502542e-05,912244,1
100512,40.8035,-73.9567,0.000109046589264,330520,1
100514,40.708,-74.0149,0.000233810538244,164340,1
100515,40.7803,-73.9465,0.000133584520812,293068,1
100518,40.7861,-73.9777,5.76712147889e-05,380421,1
10052,40.7032,-73.9914,5.15231415565e-05,179161,3
100521,40.7111,-74.0055,6.72257832604e-05,396712,1
100523,40.7356,-73.9828,3.100019816e-05,447429,1
100524,40.7316,-73.9839,0.000132102748228,820826,1
100526,40.6167,-73.955,0.000117005709177,308051,3
10053,40.6503,-74.0135,0.000221352627817,789689,3
100535,40.7852,-73.9777,0.000124506750649,240049,1
100536,40.7842,-73.948,0.000303157808101,877982,1
100543,40.7633,-73.9785,1.3193892188e-05,243751,1
100544,40.7443,-73.9859,0.000201218724345,559467,1
100545,40.7462,-73.9757,0.000131019057572,258018,1
100547,40.6905,-73.9668,0.000250848883519,483815,3
10055,40.7087,-74.0058,6.04255978562e-05,871750,1
100551,40.7187,-73.9831,0.000111858127846,883775,1
100553,40.7489,-73.9732,4.87550685503e-05,234500,1
100558,40.7331,-74.0055,2.66167445411e-05,359297,1
100559,40.7299,-73.9819,0.000153454913026,690427,1
100560,40.7405,-73.9767,0.000210908540887,54607,1
100561,40.7449,-73.9812,0.000140881662713,227278,1
100563,40.7775,-73.9483,9.04031659208e-05,283802,1
100564,40.7974,-73.9706,4.62305809577e-05,779957,1
100567,40.7518,-73.9849,7.56577380035e-05,433014,1
10057,40.727,-74.0308,0.0175474190983,271917,j
100571,40.7421,-73.9788,8.70381241495e-05,752628,1
100574,40.7603,-73.961,4.84745000714e-05,751102,1
100577,40.7752,-73.9887,0.000149691847337,569243,j
100583,40.7081,-74.0065,0.00020944041232,208672,1
100591,40.759,-73.9621,5.49532296915e-05,13898,1
100593,40.71,-74.0143,0.000141153160543,911532,1
100596,40.7333,-73.9796,0.00032145069501,499918,1
100597,40.7894,-73.9764,0.00013145190189,523553,1
100598,40.7427,-73.9794,0.000136555801811,401207,1
100600,40.7865,-73.9744,0.000153887958032,551571,1
100601,40.7481,-73.9564,0.000170637836961,795157,4
100602,40.7033,-73.92,4.70806900464e-05,54249,3
100604,40.7238,-73.9902,0.00010254399934,370350,1
100605,40.7047,-74.0076,0.000210057954231,384171,1
10061,40.7466,-73.9779,1.29148028218e-05,502101,1
100613,40.7838,-73.9535,0.000103131853246,127917,1
100614,40.7705,-73.9485,9.97000556215e-05,860173,1
100617,40.7706,-73.9501,0.00012564250257,725151,1
100619,40.8441,-73.9406,0.000276842670818,744716,1
100620,40.7568,-73.9982,8.99054681735e-05,225579,j
100622,40.6905,-73.9668,0.000250848883519,483815,3
100624,40.753,-73.9695,4.74179512032e-05,879572,1
100626,40.8071,-73.9552,0.000196267193045,210108,1
100628,40.7749,-73.9782,0.000149221901976,529433,1
100629,40.6461,-73.9617,8.78316414455e-05,357311,3
100630,40.7318,-73.9864,0.000149696161447,194134,1
100633,40.7633,-73.9785,1.3193892188e-05,243751,1
100634,40.6774,-73.9583,0.00010297630195,170490,3
100636,40.7628,-73.9849,8.9927814411e-05,115991,1
100638,40.6621,-73.9793,0.000103181683319,611267,3
10064,40.7247,-73.9935,5.13097009702e-05,794691,1
100640,40.8233,-73.9532,4.67893797682e-05,333238,j
100641,40.7343,-74.0094,6.61860616981e-06,483271,1
100642,40.7632,-73.9907,9.46208143804e-05,622203,j
100644,40.745,-73.9863,0.000268723957276,896037,1
100646,40.7705,-73.9485,9.97000556215e-05,860173,1
100648,40.6493,-73.974,0.000345137614549,706931,3
100649,40.7729,-73.9485,0.000116438764096,396968,1
100650,40.7625,-73.9864,5.34562661592e-05,523745,1
100657,40.8222,-73.94,1.23137893764e-05,239434,j
100658,40.7586,-73.9838,0.000135448408242,869059,1
100659,40.8246,-73.9508,0.000160464178911,459002,j
100660,40.7805,-73.9464,8.28989495111e-05,392453,1
100661,40.7974,-73.9708,0.000207272838787,181203,1
100662,40.8021,-73.9392,6.59021450368e-05,917076,1
100663,40.6898,-73.9797,0.000214484530269,145314,3
100664,40.7334,-74.0047,1.21431737773e-05,628077,1
100670,40.7735,-73.9064,8.55680630243e-05,555292,4
100671,40.7771,-73.9515,0.000103935232507,328414,1
100672,40.7601,-73.99,0.000150794140542,198129,j
100677,40.7863,-73.971,0.000122388468699,550342,1
10068,40.7767,-73.9456,0.000176422658722,318033,1
100684,40.7669,-73.9344,0.000365761616658,229878,4
100685,40.7338,-74.0009,4.67503657039e-05,763564,1
100686,40.7494,-73.8801,0.000216840104776,817951,4
100688,40.8419,-73.9377,2.02301161895e-05,879452,1
100689,40.7321,-74.008,0.00014569040212,94339,1
100690,40.779,-73.9461,4.37722270732e-05,660121,1
100692,40.7292,-73.986,0.000119208621428,351357,1
100694,40.7381,-73.992,9.84042955251e-05,371879,1
100697,40.7369,-73.8633,0.000270898866653,557936,4
1007,40.7222,-73.9464,0.000149416749029,907376,3
10070,40.7316,-73.9838,8.59546715834e-05,640602,1
100703,40.7559,-73.9658,0.000165601675302,516702,1
100709,40.7549,-73.969,6.64827519527e-05,453979,1
100710,40.7198,-73.9991,1.6384758432e-05,414911,1
100718,40.7446,-73.974,0.00013742768331,252360,1
100721,40.7826,-73.9509,7.3763514442e-05,328641,1
100723,40.7238,-73.9902,0.00010254399934,370350,1
100725,40.7854,-73.9752,6.75942059561e-05,100574,1
100727,40.7075,-74.0059,0.000141837869982,38616,1
100729,40.6736,-73.9659,6.83459478898e-05,160260,3
10073,40.8063,-73.9157,4.99378485586e-05,800199,2
100732,40.7538,-73.974,4.17630496548e-05,919440,1
